FID;ID_MANANTIAL;LATITUD;LONGITUD;FECHA;CAUDAL;TEMPERATUR;OLOR;CARBONATO_;BICARBONAT;SULFURO_HI;PH_LABORATORIO;CONDUCTIVIDAD;ALCALINIDAD;BICARBON_1;CARBONATOS;SOLIDOS_SO;SOLIDOS_TOTAL;CLORUROS;SULFATOS;NITRATOS;CALCIO;MAGNESIO;ESTRONCIO;SODIO;POTASIO;HIERRO;MANGANESO;ALUMINIO;SILICIO;SILICE;BORO;LITIO;FLUOR;MERCURIO;ZINC;YODURO;BROMURO;NIQUEL;ARSENICO;ANTIMONIO;CESIO;RUBIDIO;DEUTERIO;OXIGENO18;GAS_CARBON;SULFURO__1;METANO;ARGON;NITROGENO;HELIO;HIDROGENO;RADON;PH_IN_SITU;CONDUCTIVIDAD_ELÉCTRICA;AMONIO;OXIGENO;CONSULTABL;OBSERVACIO;DEPOSITOS_;CLASIFICACIÓN;MONOXIDO_C;FOSFATOS;x;y
1;1122;4,95194198;-75,52083893;7/29/2011;0,25;31;Ausente;0;1391;0;6,1;3100;1140,163934;1391;0;1768;0;368;49,2;32,2;89,5;41;0,3;530;27;4,7;0,6;-999;34,2;73,28571429;0;1,6;0,7;3,5;0;0;0;0;0;0;0;0;-77,25189125;-12,24949621;0;0;0;0;0;0;0;0;6,12;3100;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;-999;-75,52083893;4,951941979
2;1123;4,91261771;-75,45702844;8/1/2011;0,25;51;Ausente;0;463,6;0;6,71;2825;380;463,6;0;1254;2028;566;35,34;0,63;35;7,5;0,249;465;51,5;-999;0,2;-999;65,2;139,7142857;0;2,5;0,73;2;0;0;0;0;0;0;0;0;-97,19094803;-12,4400053;0;0;0;0;0;0;0;0;6,71;2825;0;0;1;;;Clorurada;0;-999;-75,45702844;4,91261771
3;909;5,06388359;-73,5301886;8/31/2003;0;36,8;Ausente;0;450;0;7,87;983;368,852459;450;0;800;0;96,9;-999;0,656;7,23;2,05;0,208;209;2,76;0,113;0,026;0,084;14,04666667;30,1;0,459;0,084;0,989;-999;0;-999;-999;0;-999;-999;-999;-999;-66,364;-9,391;0;0;0;0;0;0;0;0;6,752;983;0,046;0;1;;;Bicarbonatada;0;-999;-73,5301886;5,063883588
4;910;5,06041632;-73,52552037;8/31/2003;1,3;50,8;Ausente;0;340;0;7,48;1363;278,6885246;340;0;914;0;256;0,242;-999;51,2;4,33;2,09;203;6,35;1,15;0,066;0,012;22,91333333;49,1;0,446;0,012;0,455;-999;0;-999;0,171;0;-999;-999;-999;-999;-66,623;-9,821;0;0;0;0;0;0;0;0;6,147;1363;2,46;0;1;Clasificación difiere de informe original  por diferencia de unidades (aquí en meq/L);;Clorurada;0;-999;-73,52552037;5,060416319
5;1124;4,91793756;-75,45509256;8/1/2011;1;62,5;Ausente;0;585,6;0;6,58;4900;480;585,6;0;2688;2782;1268;108;-999;79;11;0,264;824;75;0,3;0,3;-999;79,2;169,7142857;0;4,9;0,93;-999;0;0;0;0;0;0;0;0;-97,42763355;-11,43586365;0;0;0;0;0;0;0;0;6,58;4900;0;0;1;;Óxidos de Hierro;Clorurada;0;-999;-75,45509256;4,917937564
6;1125;4,91895759;-75,45583379;8/1/2011;1;67,5;Ausente;0;536,8;0;6,19;3670;440;536,8;0;2104;2188;845;112;-999;82,5;11;0,172;607;63,5;2,3;0,6;-999;75,9;162,6428571;0;3,15;1,27;2;0;0;0;0;0;0;0;0;-93,12392801;-11,55757779;0;0;0;0;0;0;0;0;6,19;3670;0;0;1;;Óxidos de Hierro;Clorurada;0;-999;-75,45583379;4,918957591
7;1126;4,91468393;-75,44594604;8/2/2011;0,1;84;Ausente;0;268;0;6,7;3880;219,6721311;268;0;2182;2230;1122;87,2;-999;30;10;-999;804;82,5;-999;1;-999;87,5;187,5;0;4,1;1,2;2;0;0;0;0;0;0;0;0;-91,8802571;-11,28801336;0;0;0;0;0;0;0;0;6,7;3880;0;0;1;;Carbonatos;Clorurada;0;-999;-75,44594604;4,914683933
8;1127;4,91120321;-75,44600196;8/2/2011;5;88;Ausente;0;268;0;7,78;3430;219,6721311;268;0;1902;1972;995;107;-999;30;4;-999;805;81;-999;0,3;-999;109;233,5714286;0;3,5;0,9;0,5;0;0;0;0;0;0;0;0;-92,63255792;-11,6056822;0;0;0;0;0;0;0;0;7,78;3430;0;0;1;;Azufre Coloidal;Clorurada;0;0,4;-75,44600196;4,911203212
9;1128;4,91392465;-75,4415188;8/3/2011;0,75;30,6;Ausente;0;84,18;0;6,73;139,2;69;84,18;0;156;0;2,34;3,2;2,17;8;6,2;-999;8,2;5,3;-999;-999;-999;52,9;113,3571429;0;-999;0,38;0;0;0;0;0;0;0;0;0;-82,05;-11,83;0;0;0;0;0;0;0;0;6,73;139,2;0;0;1;;;Bicarbonatada;0;0,13;-75,4415188;4,913924652
10;1129;4,90128109;-75,44388142;8/4/2011;0,1;46;Leve;0;378;0;6,1;3230;309,8360656;378;0;1732;2760;919;95,4;20,6;75;7,5;-999;580;73;0,8;0,2;-999;60,3;129,2142857;0;3,7;0,9;2;0;0;0;0;0;0;0;0;-92,64;-12,57;0;0;0;0;0;0;0;0;6,11;3230;0;0;1;;;Clorurada;0;-999;-75,44388142;4,901281088
11;1130;4,90505367;-75,45131625;8/4/2011;4;58;Ausente;0;293;0;6,3;2468;240,1639344;293;0;1386;1476;780;29,8;-999;32,5;12;0,2;578;53,5;0,7;0,3;-999;88,3;189,2142857;0;2,5;1;0,5;0;0;0;0;0;0;0;0;-90,27674081;-12,14158454;0;0;0;0;0;0;0;0;6,26;2468;0;0;1;;Óxidos de Hierro;Clorurada;0;0,1;-75,45131625;4,90505367
12;1006;11,02543907;-74,21619971;10/1/2007;1;40,8;Ausente;0;390;-888;8,02;2180;475,8;390;0;1342;0;264;338;-999;190;32,5;4;212;30;-999;-999;-888;17,6;37,71428571;-999;0,5;0,81;-888;-888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,02;2180;0;0;1;;No;Clorurada-Sulfatada;0;1,4;-74,21619971;11,02543907
13;1007;5,58816753;-73,52974264;1/1/1981;0;0;Leve;0;0;0;7,9;0;1000;1220;0;0;0;1985;18;0;420;38,4;0;1150;97,5;0;0;0;10,26666667;22;2,5;8,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,9;0;0;0;1;;Óxidos de Hierro;Clorurada;0;0;-73,52974264;5,588167526
14;1297;2,33003919;-76,48951022;8/31/1981;0;74;H2S;0;915;0;0;0;14,83606557;915;0;0;0;1666,15;2688;0;108;32,4;0;2162;198,9;0;0;0;0;114;36,79;8,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,2;0;0;0;1;;;Sulfatada;0;0;-76,48951022;2,330039185
15;1298;2,30409342;-76,5087054;8/31/1981;0;58;;0;915;0;0;0;750;915;0;0;0;1347;1200;0;60;8,04;0;1656;58,5;0;0;0;50,4;108;29,21;3,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,3;4700;0;0;1;;;Clorurada-Sulfatada;0;0;-76,5087054;2,304093415
16;1010;5,29948611;-73,16823682;6/3/2009;0;64,5;Ausente;0;334;0;7,22;535;407,48;334;0;0;0;40;-999;0;29,5;1,5;0;86;25,6;0,2;0;0;19,13333333;41;-999;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,22;535;0;0;1;;;Bicarbonatada;0;0;-73,16823682;5,299486113
17;1299;4,91448552;-75,44644314;7/30/1996;0;92,7;Ausente;0;293,23;0;7,34;0;240,352459;293,23;0;0;0;917,3;0;0;48;4,2;0;570;80;0,1;0,4;0,1;84;180;0;3,4;0;0;0,01;0;0;0;0;0;0;0,6;0;0;0;0;0;0;0;0;0;0;7,34;0;0;0;1;;;;0;0;-75,44644314;4,91448552
18;1020;4,47431534;-75,39008723;7/1/1982;0;94;Ausente;0;793;0;8,01;2000;967,46;793;0;0;0;297,78;182,4;0;19;21,6;0;460;39;0;0;0;95,2;204;15,14;2,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,01;2000;0;0;1;;Pátina Blanca;Bicarbonatada;0;0;-75,39008723;4,474315344
19;1108;5,76786829;-73,09854798;6/22/2001;0;21;Ausente;0;2620;0;6,5;46000;2147,540984;2620;0;0;0;5455;20812;0;175;22,5;4,7;13250;1637;0,2;1,7;0;19,5;41,8;5,3;18;6,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,5;46000;0;0;1;;;Sulfatada;0;0;-73,09854798;5,767868287
20;1109;5,75567302;-73,11060616;5/2/2001;0;63,4;Leve;0;2520;0;7,2;42500;2065,57377;2520;0;0;0;5138;19375;0;87;17;4,6;12500;1400;0,3;1,7;0;30;64;4,9;18;14,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,2;42500;0;0;1;;;Sulfatada;0;0;-73,11060616;5,755673016
21;1215;2,71616899;-75,57627062;6/1/2013;4;26,2;Ausente;0;63,44;0;6,63;142,1;52;63,44;0;0;0;1,291073631;12,04648429;-999;20,6;1,0475;0,078;4,81;2,6365;-999;-999;-999;10,54;22,58571429;-999;0,065;0,867462331;0;-999;0;0;0;0;0;0;0;-47,53490783;-8,744813563;0;0;0;0;0;0;0;0;6,63;142,1;0;0;1;solidos disueltos excluidos por inconsistencia;;Bicarbonatada;0;1,974260553;-75,57627062;2,71616899
22;1216;2,66754588;-75,51524624;9/27/2012;0;28,5;;0;135;1,82;7,16;229,3;110,6557377;135;0;0;0;-999;6,348876576;-999;39,95;1,1;-999;2,45;2,95;0,1;-999;-999;6,3;13,5;-999;-999;-999;0;-999;0;0;0;0;0;0;0;-55,86;-7,18;0;0;0;0;0;0;0;0;7,16;229,3;0;0;1;Surgencia en diferentes puntos del manantial;;Bicarbonatada;0;-999;-75,51524624;2,667545881
23;1217;2,75400792;-75,23395201;9/29/2012;0;46,5;;3;22;1,73;8,43;1199;23,03278689;22;3;0;0;82,94706029;383,4666386;-999;41,5;0,35;0,65;183,5;3,9;-999;-999;-999;15,1;32,35714286;-999;0,1;8,256892868;0;-999;0;0;0;0;0;0;0;-61,74;-8,09;0;0;0;0;0;0;0;0;8,43;1199;0;0;1;Efusión leve de gas.;;Sulfatada;0;-999;-75,23395201;2,754007925
24;1218;2,75361902;-75,23405953;9/29/2012;5,45;48,8;;3;22;1,86;8,54;1232;23,03278689;22;3;0;0;95,25053066;426,0561257;-999;42,05;0,35;0,9;194;4;-999;-999;-999;18,9;40,5;-999;0,1;7,918307654;0;-999;0;0;0;0;0;0;0;-61,19;-8,11;0;0;0;0;0;0;0;0;8,54;1232;0;0;1;;;Sulfatada;0;-999;-75,23405953;2,753619025
25;1219;2,74729133;-75,2325517;9/29/2012;0;34,5;;0;34;1,06;7,8;1075;27,86885246;34;0;0;0;77,86750479;330,2462854;-999;39,15;1,2;0,65;173;4,1;0,1;-999;-999;17,9;38,35714286;-999;-999;7,403938023;0;-999;0;0;0;0;0;0;0;-62,22;-8,29;0;0;0;0;0;0;0;0;7,8;1075;0;0;1;;;Sulfatada;0;-999;-75,2325517;2,74729133
26;1220;2,74909766;-75,2345766;9/30/2012;0;50,5;Leve;7,2;8;1,59;8,83;1368;18,55737705;8;7,2;0;0;85,59546434;364,8385428;-999;49,9;0,1;1;217,5;4,9;-999;-999;-999;18,5;39,64285714;-999;0,1;8,924526994;0;-999;0;0;0;0;0;0;0;-63,49;-8,37;0;0;0;0;0;0;0;0;8,83;1368;0;0;1;;;Sulfatada;0;-999;-75,2345766;2,749097661
27;1221;2,54000557;-75,34961214;9/28/2012;0;38,1;;0;24;2,52;8,08;2065;24,67213115;24;0;0;0;357,6983012;519,9510594;-999;140,5;1,1;2,45;313;3,8;0,1;-999;-999;10,6;22,71428571;0,2;0,1;7,190637434;0;-999;0;0;0;0;0;0;0;-61,43;-7,78;0;0;0;0;0;0;0;0;8,08;2065;0;0;1;Burbujeo leve. Materia orgánica en descomposición (heces de res). Roca=granito?;;Sulfatada;0;-999;-75,34961214;2,540005573
28;1222;2,11119716;-76,60917465;7/18/2012;0,42;33,8;;0;284,54;1,33;5,84;908;233,2295082;284,54;0;0;0;139,8161911;123,9304818;-999;67,4;40,5;0,1;88,05;14;10,1;1;-999;88,6;189,8571429;0,8;0,1;0,419889562;0;-999;0;0;0;0;0;0;0;-76,13038673;-10,60779022;0;0;0;0;0;0;0;0;5,84;908;0;0;1;Se observaron caolín y otras arcillas (alteración hidrotermal argílica);Otro;Bicarbonatada;0;-999;-76,60917465;2,111197159
29;893;8,28070696;-77,13960479;4/7/2013;1,35;36,2;Ausente;4;5;0;8,84;979;12;5;4;681;0;28,95757579;424,4871909;-999;103,1472917;-999;0,10675;87,245;-999;-999;0,796277778;-999;13,89441667;29,77375;-999;-999;0,386310141;0;-999;0;0;0;0;0;0;0;-50,22005054;-8,482561188;0;0;0;0;0;0;0;0;8,84;936;0;0;1;;No;Sulfatada;0;-999;-77,13960479;8,280706962
30;894;0,84106346;-77,93215278;9/9/2012;8;24,5;Leve;0;254,004;82,9;5,44;2004;208,2;254,004;0;1777;1854;7,325685405;963,9763787;8,778219622;412;50,7;0,8;32,8;7,7;0,4;1,8;-999;30,1;64,5;2,4;-999;-999;0;0,1;0;0;0;0;0;0;0;-89,80339464;-12,63029431;0;0;0;0;0;0;0;0;5,44;2004;0;0;1;;Pátina Blanca;Sulfatada;0;-999;-77,93215278;0,841063462
31;895;2,28701967;-76,46414978;7/12/2012;12;90,1;Leve;0;0;0;3,76;5030;0;0;0;3262;0;954,5351121;853,3666776;0,524030799;24;9;-999;867;124;0,3;0,4;-999;223,3;478,5;15,8;4,5;1,894170098;0;-999;0;0;0;0;0;0;0;-58,89202762;-7,446266409;0;0;0;0;0;0;0;0;3,76;5030;0;0;1;;Azufre;Clorurada;0;0,37466708;-76,46414978;2,287019673
32;1223;2,3505221;-76,40912335;7/10/2012;30;44,6;;0;0;14,684;1,71;8080;0;0;0;0;0;862,7656311;3302,3422;-999;190;260,5;1;248,5;63,5;46,7;10,7;120;60,1;128,7857143;1,8;-999;2,394531039;0;0,8;0;0;0;0;0;0;0;-80,37830978;-11,28888498;0;0;0;0;0;0;0;0;1,71;8080;0;0;1;;Azufre;Sulfatada;0;-999;-76,40912335;2,350522103
33;898;1,06750424;-77,73490404;10/25/2011;50;41;Ausente;0;402,6;0;7,11;2408;330;402,6;0;1409;0;604;162;1,703609838;55,5;36,5;1;362;26;0,1;0,8;-999;80,7;172,9285714;5,8;1;0,273767848;-999;-999;0;0;0;0;0;0;0;-74,4954242;-10,1525184;0;0;0;0;0;0;0;0;7,11;2408;0;0;1;;No;Clorurada;0;3,055184579;-77,73490404;1,067504236
34;1227;2,39085914;-76,44038225;9/30/1997;2,4;24;;0;0;0;2,5;0;0;0;0;0;0;0;0;0;55;67;0;76;14,4;8,4;3,9;42;41;87,857143;0;0,1;0;0;0,3;0;0;0;0;0;0;-999;0;0;0;0;0;0;0;0;0;0;2,5;3410;0;0;1;;;;0;0;-76,44038225;2,390859144
35;1228;2,33979475;-76,31326847;8/15/2012;0;32,9;Fuerte;0;0;20,68;4,57;1635;0;0;0;0;0;19,34422912;1034,831408;-999;256;63;0,8;60,4;9,5;0,2;2;-999;45,7;97,92857143;0,245;-999;0,547906745;0;0,1;0;0;0;0;0;0;0;-81,28457107;-12,27755669;0;0;0;0;0;0;0;0;4,57;1635;0;0;1;;;Sulfatada;0;-999;-76,31326847;2,339794749
36;1231;2,30811447;-76,50416608;8/14/2012;1;38;;0;445,3;0;6,82;964;365;445,3;0;0;0;89,6;107,860662;1,235906787;22,5;16,2;0,45;166;29;-999;-999;-999;59,7;127,9285714;2,146;0,2;0,407933911;0;-999;0;0;0;0;0;0;0;-76,77725409;-11,35186146;0;0;0;0;0;0;0;0;6,82;964;0;0;1;Materia orgánica sobrenadante;;Bicarbonatada;0;0,294114526;-76,50416608;2,308114472
37;905;4,97044137;-75,38182559;5/27/2011;1,2;63;H2S;0;0;0;1,6;10650;0;0;0;6978;0;790;4934;-999;208;219;8;490;86;93;5,8;337;126;270;0;0,1;19,6;0,4;0;0;0;0;0;0;0;0;-106,7265528;-14,92278244;0;0;0;0;0;0;0;0;1,62;10650;0;0;1;;Pátina Blanca;Sulfatada;0;-999;-75,38182559;4,970441374
38;1107;5,76642267;-73,0991282;6/22/2001;0;21,5;Ausente;0;2989;0;6,3;55800;2450;2989;0;0;0;7095;26652;0;47,3;14,6;5,2;16926;1757;4,67;2;0;14,74666667;31,6;7,4;22,9;5,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,3;55800;0;0;1;;;Sulfatada;0;0;-73,0991282;5,766422669
39;906;5,22080918;-73,71996255;8/31/2003;0,3;33,2;Ausente;0;18,1;0;6,82;39,2;14,83606557;18,1;0;47,6;0;0,251;2,16;0,659;3,41;0,037;-999;2,68;0,866;0,016;0,002;0,038;8,586666667;18,4;-999;0,038;0,265;-999;0;-999;-999;0;-999;-999;-999;-999;-71,9;-10,3;0;0;0;0;0;0;0;0;5,143;39,2;-999;0;1;;;Bicarbonatada;0;1,89;-73,71996255;5,220809177
40;1113;5,53633403;-75,02376015;4/27/2011;1,5;40;Ausente;0;1037;0;5,99;3420;850;1037;0;2026;2038;669;9,2;0,2;217;60,9;0;349;59,3;4,58;0,6;-999;89,8;192,4285714;0;4,1;0,2;0,2;-999;0;0;0;0;0;0;0;-53,26429427;-6,818217622;0;0;0;0;0;0;0;0;5,99;3420;0;0;1;Posible asociación a volcán El Escondido, recientemente identificado.;;Clorurada;0;-999;-75,02376015;5,536334034
41;918;4,92370363;-74,10542208;8/31/2003;0;59,5;Ausente;0;213;0;7,52;2830;174,5901639;213;0;1590;0;771;1,33;-999;47,6;4,5;0,945;493;6,88;-999;0,067;-999;22,07333333;47,3;0,153;0,227;0,521;-999;0;-999;0,12;0;-999;-999;-999;-999;-69;-9,89;0;0;0;0;0;0;0;0;6,73;2830;1,35;0;1;;;Clorurada;0;-999;-74,10542208;4,923703626
42;919;4,81898508;-73,67646042;8/31/2003;5;66,9;Ausente;0;502,5;0;6,86;411,8852459;411,8852459;502,5;0;0;0;129;0;0;13,06;1,9;0;216;1;0;0;0;21;45;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,86;1245;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;0;-73,67646042;4,818985084
43;920;4,54962857;-73,91708792;8/31/1981;0;52;;0;336;0;6,6;640;275,4098361;336;0;0;0;50;15;0;52;8;0;64;5;0;0;0;19,32;41,4;0,19;0,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,6;640;0;0;1;;;Bicarbonatada;0;0;-73,91708792;4,549628571
44;1114;5,50533925;-75,00664714;4/29/2011;0,33;32;Ausente;0;1757;0;6,15;8740;1440,163934;1757;0;5166;5308;2218;2,8;0,3;284;57,1;0;1395;160;6,64;1,7;-999;62,9;134,7857143;0;14,7;0,2;0,31;-999;0;0;0;0;0;0;0;-50,83814969;-6,885600786;0;0;0;0;0;0;0;0;6,15;8740;0;0;1;Posible asociación a volcán El Escondido, recientemente identificado.;Óxidos de Hierro;Clorurada;0;-999;-75,00664714;5,505339251
45;1115;5,33110006;-73,57844184;5/25/2010;1;27,1;Ausente;0;11;0;4,82;283;9,016393443;11;0;28;32;0,1;2,2;0,3;0,24;-999;0;5,26;-999;-999;-999;-999;2,26;4,842857143;0;-999;0,2;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,82;283;0;0;1;;;Bicarbonatada;0;1,6;-73,57844184;5,331100057
46;1116;4,97277223;-75,37824137;5/27/2011;1;29,5;Ausente;0;0;0;2;5850;0;0;0;3308;3568;336,0519041;2171,658861;17,00889514;85;101;1;221;41;23;2,7;180;84;180;0;-999;0,4;0,5;0;0;0;0;0;0;0;0;-96,00728832;-12,68279654;0;0;0;0;0;0;0;0;1,97;5850;0;0;1;pH extremadamente ácido. Análisis incompletos;;Sulfatada;0;-999;-75,37824137;4,972772231
47;1117;4,97042164;-75,37823671;5/27/2011;0,2;62,5;Fuerte;0;0;0;1,61;10540;0;0;0;6928;8008;795,6073141;5012,250079;-999;209;220;2;483;82;91;5,7;339;135;289,2857143;0;0,1;19,58;0,474;0;0;0;0;0;0;0;0;-107,5507257;-14,85838363;0;0;0;0;0;0;0;0;1,61;10540;0;0;1;;Azufre Coloidal;Sulfatada;0;-999;-75,37823671;4,970421642
48;1118;4,97035913;-75,37784896;5/27/2011;2;58;Fuerte;0;0;0;1,61;10230;0;0;0;6338;7168;715,2708361;4567,60575;-999;185;194;7;463;79;71;5,2;312;121;259,2857143;0;-999;18,54;0,412;0;0;0;0;0;0;0;0;-106,6978767;-14,4471704;0;0;0;0;0;0;0;0;1,61;10230;0;0;1;;Azufre Coloidal;Sulfatada;0;-999;-75,37784896;4,970359129
49;1119;4,9714587;-75,3795549;5/27/2011;4;48;Leve;0;0;0;1,71;9070;0;0;0;5240;5884;573,4419545;3812,402444;-999;201;153;2;350;60;72;4,2;243;105;225;0;-999;12,55;0,7;0;0;0;0;0;0;0;0;-104,4292773;-14,32239771;0;0;0;0;0;0;0;0;1,71;9070;0;0;1;;;Sulfatada;0;-999;-75,3795549;4,971458699
50;1202;4,74333179;-75,13413091;7/1/1982;0;37;;0;97,6;0;9,24;190;80;97,6;0;0;0;8,1535;0;0;0,6;0,1188;0;48,3;0,78;0;0;0;23,8;51;0;0,152658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,24;190;0,0342;0;1;;;Bicarbonatada;0;0;-75,13413091;4,743331789
51;1120;4,97089772;-75,37977915;5/27/2011;2;45;Leve;0;0;0;1,74;8570;0;0;0;4610;5266;506,9168242;3448,633773;-999;148;122;0;222;45;68;3,7;229;98;210;0;-999;9,49;0,589;0;0;0;0;0;0;0;0;-102,420887;-13,09882035;0;0;0;0;0;0;0;0;1,74;8570;0;0;1;;Óxidos de Hierro;Sulfatada;0;-999;-75,37977915;4,970897725
52;1121;4,97079811;-75,37986008;5/27/2011;3;44,5;Leve;0;0;0;1,73;8410;0;0;0;4552;5120;497,4724181;3387,794891;-999;149;140;2;301;51;64;3,7;218;96;205,7142857;0;-999;9,49;0,406;0;0;0;0;0;0;0;0;-107,4524834;-13,54357462;0;0;0;0;0;0;0;0;1,73;8410;0;0;1;;Óxidos de Hierro;Sulfatada;0;-999;-75,37986008;4,970798115
53;1203;4,74396759;-75,13226632;4/19/2011;1;40;Ausente;33,6;82,96;0;9,37;252,4;124;82,96;33,6;0;132;11,8;6;-999;1,9;-999;0;49,7;0,44;-999;-999;-999;34,3;73,5;0;0,35;9,88;-999;-999;0;0;0;0;0;0;0;-87,11110753;-10,4067058;0;0;0;0;0;0;0;0;9,37;252,4;0;0;1;;;Bicarbonatada;0;-999;-75,13226632;4,743967592
54;1204;3,87362496;-75,32528248;3/17/2011;0,75;27;Ausente;0;228,75;0;7,09;403;187,5;228,75;0;0;220;7,875;41,70068807;0,45735606;89,4;0,743333333;0;1,1;0,63;0,14;-999;-999;6,323333333;13,55;0;-999;0,126;-999;-999;0;0;0;0;0;0;0;-56,1;-8,68;0;0;0;0;0;0;0;0;7,09;403;0;0;1;;;Bicarbonatada;0;-999;-75,32528249;3,873624965
55;1205;3,75406405;-74,8195924;3/14/2011;2;31,4;Fuerte;0;75,03;0;7,14;119;61,5;75,03;0;0;72;6,9;5,2;0,272362842;24,4;0,506666667;0;1,56;2,56;-999;-999;-999;9,39;20,12142857;0;-999;0,122;-999;-999;0;0;0;0;0;0;0;-51,38920542;-7,998816062;0;0;0;0;0;0;0;0;7,14;119;0;0;1;;Pátina Blanca;Bicarbonatada;0;-999;-74,8195924;3,754064047
56;1206;3,31704217;-74,75781048;5/30/2013;11;42,7;Ausente;0;422,12;16,4;8;4040;346;422,12;0;0;0;965,8927511;66,55072124;-999;41,255;11,055;2,427;666,95;44,73;-999;-999;-999;16,82;36,04285714;1,7;3,955;6,265933358;0;-999;0;0;0;0;0;0;0;-60,42074795;-10,39386375;0;0;0;0;0;0;0;0;7,3;4040;0;0;1;solidos disueltos excluidos por inconsistencia;;Clorurada;0;-999;-74,75781048;3,317042174
57;1207;2,53698638;-76,2462848;7/14/2012;1;48,7;;0;337,05;0;6,3;510;276,2704918;337,05;0;0;0;1,185422484;-999;-999;20,1;19,7;0,1;53,3;18,45;0,6;0,2;-999;104,5;223,9285714;-999;-999;0,214041337;0;-999;0;0;0;0;0;0;0;-71,61536532;-10,85484384;0;0;0;0;0;0;0;0;6,3;510;0;0;1;;;Bicarbonatada;0;3,274763656;-76,24628481;2,536986376
58;1133;5,0911513;-75,24090486;5/24/2011;0,5;40;Ausente;0;927,2;0;6,29;3050;760;927,2;0;1998;3316;218,2866547;576,8042174;-999;148;158,5;0,5;295,5;31;23;0,9;-999;87;186,4285714;0;1,1;0,24;0,707;0;0;0;0;0;0;0;0;-78,43998626;-10,58086395;0;0;0;0;0;0;0;0;6,29;3050;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;-999;-75,24090486;5,0911513
59;1140;4,83488099;-75,54719239;8/8/2011;0,7;56;Ausente;0;744,2;0;6,11;2019;610;744,2;0;1230;1274;350,1;4,85;-999;69;49;-999;265;45;1,2;0,1;-999;130;278,5714286;0;2,1;0,42;0,5;0;0;0;0;0;0;0;0;-88,36607939;-12,18287978;0;0;0;0;0;0;0;0;6,11;2019;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;-999;-75,54719239;4,834880987
60;1134;5,01365556;-75,25831994;5/30/2011;0,5;46;Ausente;0;915;0;6,56;2342;750;915;0;1510;1574;215,3764262;188,2559638;-999;98;22;2;581;26,5;2,3;0,1;-999;77;165;0;1,1;0,46;1,673;0;0;0;0;0;0;0;0;-77,54557309;-11,40797161;0;0;0;0;0;0;0;0;6,56;2342;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;-999;-75,25831994;5,013655561
61;1135;5,01359156;-75,25871651;5/30/2011;0,5;43,5;Ausente;0;902,8;0;6,38;2283;740;902,8;0;1504;1524;208,9984925;184,7590658;-999;98,5;22;2;430,5;32,5;2;0,1;-999;72;154,2857143;0;1,1;0,45;1,226;0;0;0;0;0;0;0;0;-75,71283888;-11,05873779;0;0;0;0;0;0;0;0;6,38;2283;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;-999;-75,25871651;5,013591556
62;1136;5,02296681;-75,25390999;5/30/2011;0,9;29;Ausente;0;585,6;0;6,75;1211;480;585,6;0;812;826;73,97728647;105,3289909;-999;71,1;17,3;0,4;273,4;15,5;1,9;0,1;-999;51,4;110,1428571;0;0,4;0,47;1,229;0;0;0;0;0;0;0;0;-75,70605716;-11,21145941;0;0;0;0;0;0;0;0;6,75;1211;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;-999;-75,25390999;5,022966815
63;1137;4,84100089;-75,54730472;8/6/2011;0,5;61,5;Ausente;0;805,2;0;6,36;2331;660;805,2;0;1454;0;389;12,49;-999;71;58,5;0,18;319;43;1;0,1;-999;130;278,5714286;0;2,15;0,27;0,5;0;0;0;0;0;0;0;0;-89,47807808;-12,35351482;0;0;0;0;0;0;0;0;6,36;2331;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;0,131741984;-75,54730472;4,841000889
