FID;ID_MANANTIAL;LATITUD;LONGITUD;FECHA;CAUDAL;TEMPERATUR;OLOR;CARBONATO_;BICARBONAT;SULFURO_HI;PH_LABORATORIO;CONDUCTIVIDAD;ALCALINIDAD;BICARBON_1;CARBONATOS;SOLIDOS_SO;SOLIDOS_TOTAL;CLORUROS;SULFATOS;NITRATOS;CALCIO;MAGNESIO;ESTRONCIO;SODIO;POTASIO;HIERRO;MANGANESO;ALUMINIO;SILICIO;SILICE;BORO;LITIO;FLUOR;MERCURIO;ZINC;YODURO;BROMURO;NIQUEL;ARSENICO;ANTIMONIO;CESIO;RUBIDIO;DEUTERIO;OXIGENO18;GAS_CARBON;SULFURO__1;METANO;ARGON;NITROGENO;HELIO;HIDROGENO;RADON;PH_IN_SITU;CONDUCTIVIDAD_ELÉCTRICA;AMONIO;OXIGENO;CONSULTABL;OBSERVACIO;DEPOSITOS_;CLASIFICACIÓN;MONOXIDO_C;FOSFATOS;x;y
228;1269;0,84111117;-77,9366213;9/9/2012;0,5;20,4;Fuerte;0;229,604;97,5;5,31;1838;188,2;229,604;0;1679;0;3,44011286;1042,780209;-999;362;43,6;0,8;30,8;5,9;-999;1,7;-999;28,7;61,5;0,3;-999;-999;0;-999;0;0;0;0;0;0;0;-89,75505192;-12,55412879;0;0;0;0;0;0;0;0;5,31;1838;0;0;1;;Azufre;Sulfatada;0;-999;-77,9366213;0,841111165
229;1270;0,89571242;-77,81516086;10/26/2011;1;31;Ausente;0;927,2;0;6,37;2450;760;927,2;0;1639;0;276,341918;460,1484205;-999;149;99;1;305;13,5;2,5;0,3;-999;66,3;142,0714286;2,5;-999;0,854372809;0,2;-999;0;0;0;0;0;0;0;-87,88879987;-12,37683677;0;0;0;0;0;0;0;0;6,37;2450;0;0;1;;;Bicarbonatada-Sulfatada;0;-999;-77,81516086;0,895712417
230;1271;0,89151794;-77,80844027;10/26/2011;1;26,9;Ausente;0;829,6;0;6,26;3100;680;829,6;0;2351;0;407,0117468;823,6492726;-999;223,5;187,5;1,5;289;16,5;9,4;1,4;-999;59,7;127,9285714;2,4;-999;1,083845103;0,36;-999;0;0;0;0;0;0;0;-88,1464261;-12,43357834;0;0;0;0;0;0;0;0;6,26;3100;0;0;1;;Óxidos de Hierro;Sulfatada-Bicarbonatada;0;-999;-77,80844027;0,89151794
231;1272;0,80872199;-77,58618829;10/27/2011;1;25;Ausente;0;214,72;0;7,17;302;176;214,72;0;254;0;0,896403057;-999;0,454171428;16,4;14,4;0,2;31,3;3,7;0,7;-999;-999;50,1;107,3571429;-999;-999;0,315115355;-999;-999;0;0;0;0;0;0;0;-84,73158524;-10,75053605;0;0;0;0;0;0;0;0;7,17;302;0;0;1;;;Bicarbonatada;0;0,622746217;-77,58618829;0,808721986
232;1281;4,20701618;-73,71554452;4/26/2014;0;34,2;;0;114,45125;6,56;7,2;1510;93,8125;114,45125;0;1024;0;669,0432;14,25633333;-999;56;9,9095;5,767;306;12,625;0,861;0,212;-999;11,375;24,375;0,4;0,373;0,5689;0;-999;0;0;0;0;0;0;0;-43,83;-7,54;0;0;0;0;0;0;0;0;7,2;1510;0;0;1;;;Clorurada;0;-999;-73,71554452;4,20701618
233;1282;5,4695923;-72,47801597;4/25/2014;0;35,4;;0;78,30875;9,45;7,4;399;64,1875;78,30875;0;281;0;114,6583333;-999;2,724666667;16,7;2,4;1,405;82;6,1;0,5525;0,1305;-999;12,93;27,70714286;-999;0,138;3,366166667;0;-999;0;0;0;0;0;0;0;-52,43;-9,26;0;0;0;0;0;0;0;0;7,4;399;0;0;1;;;Clorurada;0;-999;-72,47801597;5,469592296
234;1283;6,12849167;-72,33139167;5/28/2014;0;39,3;;0;192,76;18,29;6,18;278000;158;192,76;0;230168;0;154298;1833,666667;-999;938,65;74,93;25,34;0;426,7;2,491;0,75;-999;7,2705;15,57964286;1,9;5,307;-999;0;-999;0;0;0;0;0;0;0;-79,12;-10,88;0;0;0;0;0;0;0;0;6,18;278000;0;0;1;;;Clorurada;0;-999;-72,33139167;6,128491667
235;1284;6,48658298;-71,88753221;9/16/2014;0;33;;0;25,3;13,1;6,6;33,4;20,73770492;25,3;0;23;0;0,6;1,4;0,5;2,9;0,5;-999;8,8;0,8;-999;0,2;-999;3,2;6,857142857;-999;-999;0,3;0;-999;0;0;0;0;0;0;0;-36,23;-4,28;0;0;0;0;0;0;0;0;6,6;33,4;0;0;1;;;Bicarbonatada;0;-999;-71,88753221;6,486582983
236;1285;3,24970487;-73,95418794;9/16/2014;0;40,3;;0;435,54;8,6;8,46;818,1;357;435,54;0;433;0;16,9;3,7;-999;6;-999;0,1;164;6;-999;-999;-999;11,8;25,28571429;0,2;0,5;2,5;0;-999;0;0;0;0;0;0;0;-52,14;-7,23;0;0;0;0;0;0;0;0;8,46;818,1;0;0;1;;;Bicarbonatada;0;1,8;-73,95418794;3,249704871
237;1286;3,25127867;-73,95627517;9/16/2014;0;35,7;;0;410,65;8;8,28;889,9;336,5983607;410,65;0;397;0;15,2;3,5;-999;3,2;0,5;0,1;144;4;-999;-999;-999;10,8;23,14285714;0,3;-999;2,4;0;-999;0;0;0;0;0;0;0;-53,01;-7,04;0;0;0;0;0;0;0;0;8,28;889,9;0;0;1;;;Bicarbonatada;0;-999;-73,95627517;3,251278673
